"id","constituency_name","country","region","Turnout19","ConVote19","LabVote19","LDVote19","SNPVote19","PCVote19","UKIPVote19","GreenVote19","BrexitVote19","TotalVote19","c11PopulationDensity","c11Female","c11FulltimeStudent","c11Retired","c11HouseOwned","c11HouseholdMarried"
W07000049,Aberavon,Wales,Wales,62.26206970214844,6518.0,17008.0,1072.0,,2711.0,,450.0,3108.0,31598.0,3.7513947260494267,51.23312113468314,6.230728117419726,16.66940755663364,66.83468094788057,32.63677412580069
W07000058,Aberconwy,Wales,Wales,71.28794860839844,14687.0,12653.0,1821.0,,2704.0,,,,31865.0,0.9354235264115585,51.6653372330054,6.720569690675767,19.20233414929654,69.74494630448515,29.650979153506
S14000001,Aberdeen North,Scotland,Scotland,59.871337890625,7535.0,4939.0,2846.0,20205.0,,,880.0,1008.0,37413.0,20.458632724286595,50.562947799385874,20.330990189137253,9.377212501264287,45.48526131121267,23.75950271815642
S14000002,Aberdeen South,Scotland,Scotland,69.44414520263672,16398.0,3834.0,5018.0,20388.0,,,,,45638.0,11.490198495869807,50.528450486603646,11.547965818573381,10.950205005729115,62.52995162529952,29.05872779058728
S14000058,West Aberdeenshire and Kincardine,Scotland,Scotland,73.4375,22752.0,2431.0,6253.0,21909.0,,,,,53345.0,0.27927244822451425,50.61062043397666,6.317049383810621,13.504447793835151,75.3028916051909,46.327607560174464
S14000003,Airdrie and Shotts,Scotland,Scotland,62.13307189941406,7011.0,12728.0,1419.0,17929.0,,,685.0,,39772.0,3.6288890767669937,51.42640806104025,6.28751383627208,14.53003445426625,60.162245121683846,33.82481911861434
E14000530,Aldershot,England,South East,66.00658416748047,27980.0,11282.0,6920.0,,,,1750.0,,47932.0,19.614660128572453,50.101037316448874,6.690939245131447,10.325347568639136,65.42604801592238,38.892897126508274
E14000531,Aldridge-Brownhills,England,West Midlands,65.4195327758789,27850.0,8014.0,2371.0,,,,771.0,,39342.0,17.483481614565708,51.0704913347364,6.162344416944654,18.65741238925356,75.59416692522495,36.36363636363637
E14000532,Altrincham and Sale West,England,North West,74.90801239013672,26311.0,20172.0,6036.0,,,,1566.0,,54763.0,18.709287528110128,51.09378720584734,6.895702321268149,14.139160170400208,74.08047272089937,38.914344375172135
W07000043,Alyn and Deeside,Wales,Wales,68.4960708618164,18058.0,18271.0,2548.0,,1453.0,,,2678.0,43008.0,5.327371343707625,50.519362462881034,6.42949908760624,15.543572966841474,72.59254954379031,36.85128145522171
